LastName;FirstName;GradeGerman;GradeEnglish;GradeMath
Bennet;Marie;4;2;2
Bosse;Johannes;3;1;1
Bruno;Ben;4;1;3
Elian;Sophia;2;3;3
Emilio;Adrian;3;4;1
Friedrich;Lennard;3;4;2
Fritz;Matteo;1;3;4
Jannes;Ella;3;4;4
Jannik;Elias;2;3;3
Julius;Noah;3;4;5
Keno;Mila;2;4;4
Konstantin;Paul;4;4;2
Lennard;Emilia;4;2;5
Levin;Leon;3;3;4
Lian;Lina;3;4;5
Luke;Finn;3;1;5
Malte;Lea;2;3;3
Marlon;Emma;1;4;1
Michel;Luca;2;3;1
Philipp;Hannah;3;3;5
Samuel;Malik;1;4;4
Thilo;Mia;3;3;3
Tim;Emil;3;1;3
Valentin;Louis;2;3;3
Anna;David;3;5;4
Emma;Maximilian;3;5;3
Sophie;Alexander;1;4;4
Anna;Paul;3;1;2
Mia;Lukas;2;2;3
Sara;Leon;4;3;1
Emilia;Elias;2;3;3
Laura;Tobias;3;5;3
Lena;Noah;4;4;4
Marie;Benjamin;4;1;4
Sophia;Sebastian;4;3;2
Sarah;Simon;4;4;4
Lara;Felix;2;4;4
Lea;Julian;1;3;2
Julia;Theodor;2;3;3
Elif;Jakob;1;4;2
Elena;Fabian;4;2;3
Johanna;Samuel;4;5;4
Magdalena;Daniel;3;3;2
Sofia;Emil;3;5;3
Helena;Valentin;4;3;1
Nora;Jonas;3;3;2
Charlotte;Filip;1;2;2
Hannah;Moritz;4;4;1
Leonie;Raphael;2;5;2
Emily;Adam;3;2;5
Clara;Luka;3;2;2
Maria;Adrian;3;4;2
Valentina;Stefan;4;4;3
Olivia;Yusuf;1;4;2
Ella;Konstantin;1;3;1
Isabella;Luis;2;3;2
Katharina;Oskar;3;3;4
Lina;Gabriel;1;3;2
Hanna;Luca;4;5;2
Lisa;Muhammed;3;3;5
Amelie;Liam;2;4;2
Luisa;Philipp;2;2;2
Marlene;Viktor;2;4;4
Nina;Ömer;3;1;4
Viktoria;Leo;2;4;2
Elisa;Vincent;4;3;2
Franziska;Emir;1;4;4
Valerie;Florian;3;5;1
Mira;Jonathan;3;5;3
Paula;Hamza;3;3;4
Alina;Matthias;3;5;2
Zeynep;Dominik;2;3;4
Miray;Ferdinand;4;5;4
Livia;Oliver;4;4;5
Maja;Ben;4;4;4
Mila;Lorenz;3;1;2
Alma;Ali;4;5;5
Miriam;Constantin;3;1;4
Stella;Andrej;4;2;4
Victoria;Anton;1;5;5
Amina;Louis;4;2;2
Jana;Nico;3;4;3
Antonia;Nicolas;3;1;4
Esila;Amir;4;4;3
Matilda;Aleksandar;4;3;2
Anastasia;Erik;2;2;1
Angelina;Matteo;4;2;3
Klara;Arthur;4;3;2
Melissa;Martin;1;4;2
Selina;Michael;2;3;2
Hana;Rafael;4;3;1
Maya;Theo;4;4;3
Paulina;Benedikt;3;3;2
Theresa;Leonard;2;1;2
Alessia;Mateo;4;5;3
Alexandra;Jan;3;4;4
Ana;Mustafa;2;4;4
Ela;Nikola;3;4;3
Linda;Omar;2;2;3
Ida;Aaron;3;3;3
Annika;Christian;2;3;3
Azra;Lucas;1;4;4
Elisabeth;Berat;3;2;3
Leonora;Finn;3;3;2
Sofija;Leopold;4;1;2
Elina;Marcel;1;2;5
Louisa;Noel;4;4;5
Anastasija;Lazar;3;1;2
Lorena;Marko;3;2;3
Mathilda;Mert;2;5;2
Meryem;Niklas;3;1;3
Mina;Tim;2;2;2
Nisa;Antonio;4;1;3
Pia;Johannes;3;4;3
Teodora;Emilio;3;1;3
Aylin;Eymen;1;1;2
Greta;Josef;2;4;3
Lia;Mohammad;4;2;2
Nikolina;Thomas;2;1;4
Rosa;Ivan;3;2;3
Vanessa;Mehmet;2;3;4
Flora;Nikolas;2;4;4
Hira;Abdullah;2;4;1
Lucia;Ahmed;1;4;4
Melina;Enes;3;3;4
Lana;Ibrahim;3;3;4
Luise;Julius;4;4;2
Amelia;Manuel;2;2;2
Yaren;Teodor;1;4;4
Anja;Clemens;4;3;3
