CatalogNumber;LastName;FirstName;BirthDate
10;Bennet;Marie;13.06.2005
21;Bosse;Johannes;28.10.2005
17;Bruno;Ben;22.08.2005
5;Elian;Sophia;12.03.2005
23;Emilio;Adrian;23.11.2005
24;Friedrich;Lennard;28.11.2005
11;Fritz;Matteo;19.06.2005
8;Jannes;Ella;01.05.2005
15;Jannik;Elias;02.08.2005
12;Julius;Noah;05.07.2005
6;Keno;Mila;01.04.2005
16;Konstantin;Paul;20.08.2005
1;Lennard;Emilia;01.01.2005
13;Levin;Leon;13.07.2005
7;Lian;Lina;19.04.2005
14;Luke;Finn;18.07.2005
9;Malte;Lea;27.05.2005
4;Marlon;Emma;12.03.2005
18;Michel;Luca;07.09.2005
2;Philipp;Hannah;26.01.2005
22;Samuel;Malik;16.11.2005
3;Thilo;Mia;24.02.2005
19;Tim;Emil;27.09.2005
20;Valentin;Louis;26.10.2005
